Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
4484	40425	0.837349537	40425	0.837349537	0.789	-05:00	472.58	4662.07	5711.29	-2.94	2.89	20140906t010547_584250z
4485	40425	0.837384259	40425	0.837384259	0.606	-05:00	308.78	4702.08	5687.81	-2.88	1.54	20140906t010550_401250z
4486	40425	0.837685185	40425	0.837685185	0.179	-05:00	-31.27	4672.64	5525.25	-2.65	1.81	20140906t010616_960250z
4487	40425	0.837881944	40425	0.837881944	0.14	-05:00	308.73	4682.12	5688.59	-2.9	1.3	20140906t010633_921500z
4488	40425	0.838252315	40425	0.838252315	0.776	-05:00	411.46	4682.09	5498.35	-2.76	2.7	20140906t010705_591250z
4489	40425	0.838298611	40425	0.838298611	0.755	-05:00	276.39	4714.64	5681.53	-3.01	1.3	20140906t010709_575750z
4490	40425	0.8384375	40425	0.8384375	0.324	-05:00	524.86	4612.91	5790.85	-2.86	2.17	20140906t010721_146500z
4491	40425	0.838460648	40425	0.838460648	0.229	-05:00	909.63	4295.1	5745.89	-2.62	1.26	20140906t010723_095000z
4492	40425	0.838541667	40425	0.838541667	0.989	-05:00	283.01	4657.02	5733.54	-2.86	1.57	20140906t010730_804250z
4493	40425	0.838703704	40425	0.838703704	0.574	-05:00	774.52	4602.12	5837.71	-2.64	1.89	20140906t010744_410250z
4494	40425	0.838923611	40425	0.838923611	0.552	-05:00	352.31	4685.24	5678.64	-2.94	1.76	20140906t010803_348000z
4495	40425	0.839074074	40425	0.839074074	0.703	-05:00	581.54	4542.13	5885.75	-2.6	1.58	20140906t010816_509500z
4496	40425	0.839293981	40425	0.839293981	0.228	-05:00	188.72	4782.11	5633.91	-3	0.99	20140906t010835_022000z
4497	40425	0.839780093	40425	0.839780093	0.538	-05:00	564.07	4510.84	5856.88	-2.71	0.74	20140906t010917_358500z
4498	40425	0.839837963	40425	0.839837963	0.128	-05:00	320.82	4462.09	5779.54	-2.42	3.53	20140906t010922_893000z
4499	40425	0.840219907	40425	0.840219907	0.507	-05:00	355.46	4647.6	5701.56	-3	2.04	20140906t010955_320750z
4500	40425	0.840532407	40425	0.840532407	0.243	-05:00	429.66	4765.18	5751.79	-2.68	1.37	20140906t011022_017750z
4501	40425	0.840625	40425	0.840625	0.162	-05:00	408.76	4722.1	5707.95	-2.85	1.75	20140906t011030_965250z
4502	40425	0.84068287	40425	0.84068287	0.352	-05:00	688.73	4822.13	5851.85	-2.38	2.68	20140906t011035_180500z
4503	40425	0.840902778	40425	0.840902778	0.173	-05:00	-11	4715.39	5484.89	-2.31	3	20140906t011054_942000z
4504	40425	0.840914352	40425	0.840914352	0.425	-05:00	928.71	4912.17	5829	-1.94	3.53	20140906t011055_239250z
4505	40425	0.841215278	40425	0.841215278	0.278	-05:00	348.73	4702.12	5609.39	-2.9	1.85	20140906t011121_057250z
4506	40425	0.841574074	40425	0.841574074	0.737	-05:00	968.78	4912.07	5829	-2.18	3.35	20140906t011152_508500z
4507	40425	0.841782407	40425	0.841782407	0.818	-05:00	607.92	4462.1	5629	-2.71	1.79	20140906t011210_607750z
4508	40425	0.841828704	40425	0.841828704	0.241	-05:00	548.44	4482.06	5501.68	-2.75	0.85	20140906t011214_048000z
4509	40425	0.841898148	40425	0.841898148	0.681	-05:00	379.73	4708.44	5624.89	-2.79	1.33	20140906t011220_470250z
4510	40425	0.842164352	40425	0.842164352	0.812	-05:00	703.15	4542.1	5733.25	-2.82	1.31	20140906t011243_664250z
4511	40425	0.842210648	40425	0.842210648	0.406	-05:00	208.76	4684.43	5734.31	-2.9	1.44	20140906t011247_208250z
4512	40425	0.842233796	40425	0.842233796	0.638	-05:00	377.13	4557.46	5687.78	-2.88	1.68	20140906t011249_450250z
4513	40425	0.842534722	40425	0.842534722	0.075	-05:00	768.15	4943.41	5849.9	-2.53	3.05	20140906t011315_926750z
4514	40425	0.842719907	40425	0.842719907	0.322	-05:00	476.68	4522.09	5709.61	-2.98	1.77	20140906t011331_151000z
4515	40425	0.842719907	40425	0.842719907	0.557	-05:00	368.73	4722.12	5715.07	-2.89	1.74	20140906t011331_364000z
